68.491,67.558,0.46506,89.758,35.253,5.5387,6.9055,55.636,42.797,22.847,10.102,61.898,100.95,45.129,45.716,9.0722,22.341,78.978,67.993,70.566,41.271,5.3624,16.213,5.5307,8.4814,20.199,15.719,13.482,0.74346,19.729,10.026,0.26965,16.629,7.2036,13.369,64.183,95.141,19.208,93.151,1.3917,25.475,29.864,7.0949,83.103,2.1093,32.345,51.524,18.929
46.857,85.198,26.436,92.728,10.035,2.7661,5.931,41.717,63.695,27.578,86.576,8.7011,15.787,14.352,21.639,79.776,81.322,84.037,40.41,2.3145,8.3049,13.225,10.259,11.107,74.023,5.0627,137.51,31.692,3.6218,10.693,21.121,35.014,51.042,37.038,45.224,50.661,92.262,20.293,8.3854,31.599,32.465,22.143,0.10076,0.27108,71.645,1.2618,93.634,0.6383
54.25,23.054,1.3209,20.081,3.596,82.878,31.492,3.6938,2.6705,21.399,1.6944,25.988,87.057,64.158,29.887,6.2351,5.3485,103.89,4.2627,63.405,11.8,59.926,0.07167,47.585,17.369,154.08,1.5955,29.251,22.783,12.252,6.7951,44.932,34.295,8.3893,47.185,43.991,6.7273,45.517,12.959,6.5906,144.04,57.678,34.298,14.956,69.091,64.41,53.579,16.099
21.549,9.765,47.994,16.774,6.1172,31.7,29.648,2.8711,137.82,64.189,43.579,44.607,8.9707,55.642,7.6042,11.01,55.182,22.161,28.936,9.4168,15.374,16.203,45.684,86.25,6.2873,7.168,1.1248,19.474,1.6136,0.39925,1.1097,16.076,25.796,21.083,59.071,96.227,65.211,14.352,104.15,21.432,98.436,13.335,3.8281,44.255,31.238,0.80101,128.15,85.543
52.62,49.91,2.8491,32.525,44.636,43.53,46.986,14.811,89.836,13.517,61.148,84.576,31.435,68.749,31.002,45.644,70.717,70.562,7.9736,12.594,62.611,13.173,99.22,0.62808,13.833,6.2128,3.6204,21.85,6.292,31.464,36.81,6.5015,10.331,74.944,16.554,0.39172,10.201,4.5353,90.735,32.15,56.169,96.211,2.2557,2.2504,6.6155,0.55479,14.636,56.157
4.7355,20.644,58.77,0.38155,67.9,68.794,45.923,47.817,23.362,26.859,15.127,31.235,20.092,2.0398,8.9867,19.857,55.907,16.85,22.613,21.56,0.061487,50.469,35.083,129.69,14.896,11.146,0.96483,73.588,19.672,105.85,0.9577,25.681,38.275,75.396,57.03,56.765,116.37,10.059,39.125,2.6361,0.3962,99.49,19.488,22.477,152.21,13.142,16.288,24.663
123.73,36.197,8.8124,6.6704,42.724,1.5284,8.3597,14.326,11.343,52.327,0.50371,50.417,8.6092,30.19,2.45,11.263,4.7845,10.4,76.369,18.317,99.248,22.45,57.135,44.119,45.628,77.385,29.183,55.404,36.109,93.358,2.6762,3.0451,12.534,54.172,107.02,81.611,12.286,10.829,33.868,56.729,40.394,72.508,4.4892,15.278,0.80513,4.2623,21.35,9.6245
19.388,21.762,54.88,38.85,39.139,69.649,3.4754,12.995,2.794,21.401,35.515,153.86,34.876,39.006,10.152,103.2,73.454,35.836,28.252,6.5224,17.233,5.7566,137.51,0.55478,1.0505,27.711,111.39,24.974,8.4466,20.968,57.188,86.044,2.4426,35.472,12.494,30.243,16.646,15.363,8.0159,3.4672,62.171,19.588,0.7976,1.9923,32.464,12.305,38.9,31.375
29.763,76.104,83.306,40.576,13.029,8.2197,87.828,4.3809,42.215,10.001,20.641,0.21716,36.048,48.794,2.8492,21.546,9.2487,14.081,54.811,24.456,50.853,34.647,78.85,0.97662,0.20086,23.297,72.93,10.871,17.82,78.731,1.0179,81.218,62.926,29.514,0.99569,46.239,41.428,65.306,7.403,27.073,9.6551,7.7446,43.204,31.673,11.742,37.587,28.527,75.269
79.21,155.15,18.443,47.069,46.202,5.6236,2.8157,1.9,22.24,12.809,87.115,57.716,16.588,80.198,76.192,0.058677,46.138,3.2499,43.739,0.25175,15.362,45.541,4.244,15.882,7.6043,19.674,14.79,4.7388,7.4501,31.277,8.5038,18.837,19.565,49.449,13.979,23.538,27.171,93.365,21.509,106.91,18.111,19.321,2.5415,43.053,120.81,62.159,22.104,65.696
72.117,79.21,33.34,52.812,2.1975,31.599,3.399,8.2013,4.4122,34.359,36.648,1.2639,7.6219,7.5182,49.093,7.1192,4.3321,84.383,9.2407,65.976,42.471,21.959,14.086,3.5514,5.9931,4.4905,37.346,77.213,35.512,58.94,40.032,26.813,19.663,64.762,31.029,43.98,9.1058,2.3627,7.4528,0.39193,23.278,32.781,11.264,118.81,23.211,26.432,78.775,109.66
4.5026,7.0142,118.03,6.4813,8.9245,24.939,0.91652,46.086,2.9665,34.05,93.422,39.547,11.836,3.0194,38.862,16.686,0.30035,61.34,21.173,1.8399,55.554,30.873,23.578,6.1169,47.641,70.138,31.627,0.93208,8.7468,29.166,11.462,6.5271,13.673,41.306,85.74,34.265,85.85,3.2739,137.66,36.284,26.443,9.4017,74.579,27.436,15.422,56.648,59.533,72.654
