7.3246,22.782,53.089,4.9619,49.917,82.294,48.702,0.43975,21.094,83.576
29.689,34.032,6.3119,8.3372,36.619,21.23,17.314,31.894,50.456,5.907
1.8119,40.399,44.922,4.7822,112.22,3.9497,7.5945,36.619,70.347,49.917
30.319,50.456,49.376,2.9372,88.931,27.642,35.269,62.156,0.30472,18.732
28.249,87.784,21.657,16.707,50.456,5.4121,3.0722,18.597,12.994,37.407
40.219,19.295,3.8816,15.694,28.857,1.1147,61.009,51.334,12.05,118.63
40.399,5.9072,62.742,112.65,16.302,53.832,0.41724,16.707,52.212,12.657
3.7472,46.474,53.832,16.819,17.112,94.669,8.2695,5.907,82.294,6.6268
141.72,5.9072,37.001,15.695,1.9697,2.937,76.309,10.024,81.169,38.982
27.844,60.244,30.792,82.294,5.344,22.895,4.5347,11.847,20.554,11.847
2.3296,34.257,29.644,59.524,50.119,25.819,67.332,3.6572,91.699,1.6544
49.872,75.026,55.789,60.244,7.0771,42.694,12.657,3.0722,7.7971,5.907
0.84463,63.911,43.391,61.257,1.5197,27.642,88.931,44.179,27.057,10.632
41.502,16.235,105.81,5.7722,12.657,3.5894,28.114,42.694,51.334,5.9072
48.825,30.375,96.525,14.175,110.92,86.625,74.925,8.7759,84.375,98.325
84.825,61.875,7.4256,166.73,48.825,141.53,18.225,70.875,77.625,23.625
5.1751,89.775,81.675,95.625,118.13,26.326,30.375,48.825,108.23,58.725
55.125,77.625,51.975,19.575,118.57,78.976,141.07,73.125,6.0753,41.626
62.775,103.27,86.625,111.38,67.275,8.3258,61.426,19.575,23.625,106.87
73.125,55.125,5.1751,34.875,115.42,22.276,71.775,78.976,80.325,124.88
89.775,39.376,96.525,118.57,46.575,97.875,8.3258,66.825,61.426,16.875
74.925,103.27,71.775,25.875,114.08,111.38,33.075,16.875,149.62,6.9755
149.18,39.376,56.925,62.775,39.375,6.5254,89.775,18.225,108.23,111.38
37.125,70.875,87.975,149.62,5.6252,91.575,90.675,18.225,45.675,78.976
15.525,45.675,34.875,91.575,111.38,103.27,70.875,73.125,166.73,4.725
90.675,115.42,58.725,133.88,8.3258,56.925,84.375,61.426,22.276,23.625
5.6252,98.325,45.675,111.38,30.375,78.976,118.57,51.975,108.23,23.626
48.825,108.23,111.38,115.42,28.125,6.5254,80.325,56.925,78.976,23.626
63.001,45.001,117,27.001,153,99,81.001,9.0009,135,171
117,99,9.0009,171,63.001,153,27.001,81.001,135,45.001
9.0009,171,99,153,135,27.001,45.001,63.001,117,81.001
63.001,135,99,27.001,153,81.001,171,117,9.0009,45.001
81.001,153,99,135,117,9.0009,63.001,27.001,45.001,171
117,63.001,9.0009,45.001,171,27.001,99,81.001,153,135
171,45.001,117,153,81.001,135,9.0009,99,63.001,27.001
81.001,153,99,45.001,117,135,63.001,27.001,171,9.0009
153,45.001,99,81.001,63.001,9.0009,171,27.001,117,135
45.001,135,153,171,9.0009,99,117,27.001,63.001,81.001
27.001,63.001,45.001,99,135,153,81.001,117,171,9.0009
117,171,81.001,153,9.0009,99,135,63.001,27.001,45.001
9.0009,171,63.001,135,45.001,81.001,153,99,117,27.001
63.001,117,135,171,45.001,9.0009,153,99,81.001,27.001
18.732,1.5196,56.307,13.782,27.641,18.935,73.744,3.5897,75.027,29.644
36.146,82.294,1.7447,41.682,2.3294,5.907,46.654,106.14,6.3796,72.394
59.524,3.9497,4.9172,22.782,38.824,29.532,17.719,91.699,3.837,36.146
18.192,4.3321,18.597,59.524,5.1647,53.359,15.357,58.219,25.01,12.657
27.169,101.53,113.79,3.9497,10.632,2.937,5.2322,61.257,16.235,33.785
11.577,35.539,15.694,2.8468,4.5797,80.156,19.745,72.101,5.5697,127.18
62.156,82.047,2.3294,67.331,5.9072,23.389,11.42,13.602,4.5797,86.569
134.02,4.5571,20.554,76.782,81.281,5.2322,6.5822,2.9147,37.001,23.389
46.474,7.482,9.057,17.787,18.282,105.81,8.8095,50.367,6.5822,21.499
28.856,81.169,34.931,3.5445,17.787,3.0947,25.122,3.5446,141.72,33.784
3.1397,40.399,26.719,72.101,28.587,85.557,0.39474,46.474,32.052,19.407
0.84463,2.3297,62.742,77.074,43.391,38.982,9.8446,13.669,63.484,49.534
31.894,19.924,27.732,6.5822,99.394,2.5997,51.334,7.0771,9.2818,67.332
8.7422,34.931,21.094,46.857,67.129,3.0716,72.889,6.1997,10.025,24.132
24.976,6.0753,102.38,39.375,42.525,126.22,77.625,71.775,166.73,34.875
42.525,86.625,34.875,166.73,5.1751,16.875,84.825,141.53,42.525,111.38
91.575,26.326,98.325,30.375,110.92,118.13,39.375,96.525,6.9755,42.525
51.975,7.8757,123.97,91.575,103.27,62.775,61.425,77.625,26.326,28.125
36.225,106.87,133.88,78.975,42.525,6.5254,34.875,111.38,24.976,96.525
33.075,78.975,20.925,5.1751,91.575,84.375,78.976,110.92,37.125,149.62
73.125,149.18,5.1751,89.775,39.376,66.825,45.675,20.925,91.575,91.125
141.07,18.225,45.675,102.38,95.625,104.62,43.876,8.3258,56.925,42.525
54.675,7.8757,36.225,118.57,28.125,141.07,19.575,91.575,131.63,61.425
30.375,124.88,46.575,14.175,118.57,61.875,45.675,7.8757,166.73,96.525
20.925,42.525,106.87,84.825,81.675,131.63,7.8757,103.27,58.276,25.875
5.6252,46.575,96.525,90.675,45.675,70.875,39.376,18.225,141.07,141.53
70.875,56.925,110.92,43.876,132.52,51.975,78.975,8.3258,16.875,70.875
58.276,46.575,84.375,133.88,78.975,4.725,76.725,123.97,22.276,43.876
27.001,9.0009,117,63.001,81.001,153,135,99,171,45.001
63.001,99,45.001,171,9.0009,27.001,117,153,81.001,135
99,27.001,171,45.001,153,135,63.001,117,9.0009,81.001
63.001,9.0009,171,99,153,81.001,117,135,27.001,45.001
63.001,171,153,117,81.001,9.0009,45.001,135,27.001,99
63.001,117,27.001,9.0009,99,135,81.001,153,45.001,171
117,153,9.0009,171,45.001,81.001,63.001,27.001,99,135
171,27.001,63.001,117,153,135,45.001,9.0009,99,81.001
81.001,9.0009,63.001,153,45.001,171,27.001,99,135,117
45.001,135,81.001,27.001,153,99,63.001,9.0009,171,117
27.001,81.001,171,117,99,135,9.0009,153,63.001,45.001
9.0009,81.001,99,117,63.001,135,45.001,27.001,171,153
135,99,153,45.001,171,63.001,117,9.0009,27.001,81.001
63.001,81.001,135,153,117,9.0009,99,171,27.001,45.001
0.415,0.505,0.865,0.325,0.685,0.775,0.145,0.235,0.955,0.595
0.865,0.415,0.685,0.595,0.505,0.955,0.775,0.235,0.145,0.325
0.775,0.865,0.595,0.955,0.145,0.235,0.505,0.325,0.685,0.415
0.145,0.235,0.415,0.775,0.505,0.865,0.685,0.595,0.325,0.955
0.235,0.595,0.145,0.505,0.325,0.955,0.685,0.775,0.865,0.415
0.145,0.505,0.325,0.235,0.955,0.415,0.775,0.685,0.595,0.865
55.6,128.4,164.8,310.4,92,19.2,201.2,274,346.8,237.6
92,310.4,19.2,237.6,346.8,201.2,128.4,55.6,274,164.8
346.8,237.6,164.8,310.4,55.6,92,274,201.2,128.4,19.2
201.2,346.8,164.8,237.6,19.2,55.6,92,274,128.4,310.4
237.6,310.4,274,128.4,201.2,346.8,19.2,164.8,92,55.6
237.6,128.4,201.2,310.4,274,19.2,164.8,346.8,55.6,92
346.8,310.4,19.2,92,128.4,201.2,55.6,164.8,237.6,274
55.6,92,19.2,310.4,237.6,201.2,346.8,274,128.4,164.8
