0.248,4.088,2.456,3.224,1.112,2.552,3.416,4.952,2.072,0.536,0.344,2.84,3.896,3.128,1.88,4.76,2.36,4.856,0.44,1.016,3.608,4.664,3.704,1.688,0.824,4.376,3.8,1.4,1.208,1.784,4.28,4.184,2.648,2.744,1.592,3.32,3.992,1.976,2.168,2.264,1.496,2.936,4.472,4.568,3.512,1.304,3.032,0.728,0.632,0.92
1.592,3.128,1.016,4.088,3.8,4.664,2.552,3.512,4.376,2.84,1.976,4.952,0.536,2.168,4.856,2.456,2.072,1.304,4.568,1.4,2.264,4.472,2.648,3.32,3.032,3.704,0.344,2.744,0.44,4.184,2.36,4.28,1.88,2.936,4.76,0.632,0.728,0.248,3.608,3.224,1.208,3.992,3.416,0.92,0.824,1.496,3.896,1.112,1.688,1.784
0.147,0.739,0.6206,0.6502,0.5466,0.4578,0.3542,0.6058,0.1766,0.2062,0.1174,0.8278,0.8426,0.1914,0.3986,0.591,0.3246,0.6798,0.4874,0.3838,0.2802,0.665,0.7538,0.6354,0.369,0.7982,0.2654,0.4726,0.813,0.295,0.2506,0.7834,0.1322,0.3394,0.5022,0.221,0.5318,0.7094,0.4282,0.5614,0.6946,0.2358,0.517,0.1618,0.443,0.7242,0.7686,0.4134,0.3098,0.5762
0.937,0.631,0.973,0.307,0.217,0.415,0.505,0.577,0.451,0.775,0.181,0.523,0.397,0.433,0.199,0.739,0.343,0.271,0.109,0.361,0.703,0.901,0.145,0.919,0.235,0.883,0.829,0.955,0.253,0.613,0.541,0.289,0.721,0.757,0.325,0.667,0.991,0.595,0.793,0.559,0.127,0.379,0.847,0.469,0.163,0.649,0.487,0.811,0.685,0.865
0.811,0.289,0.199,0.829,0.649,0.109,0.973,0.559,0.577,0.631,0.793,0.901,0.451,0.181,0.757,0.397,0.865,0.415,0.847,0.271,0.217,0.937,0.145,0.685,0.739,0.505,0.433,0.991,0.469,0.523,0.253,0.379,0.361,0.955,0.325,0.343,0.487,0.721,0.235,0.919,0.163,0.541,0.127,0.775,0.703,0.307,0.667,0.595,0.883,0.613
1.91,0.866,0.758,1.082,0.722,1.982,1.046,0.686,0.974,1.478,0.83,0.47,1.802,1.262,0.794,0.614,0.578,1.154,1.01,1.586,0.326,1.766,1.406,0.362,1.838,0.542,1.334,1.226,0.398,0.218,1.694,1.658,0.902,0.254,1.298,0.434,1.514,1.19,0.65,1.946,1.622,1.874,0.29,0.506,1.55,1.442,1.73,1.118,0.938,1.37
1.658,1.442,1.262,0.65,1.514,0.794,1.334,1.838,1.622,1.874,1.946,1.586,0.218,0.254,0.434,0.542,0.29,0.866,0.758,1.298,1.91,0.614,0.686,1.73,0.722,0.47,1.226,1.694,0.83,1.478,1.406,0.974,1.118,1.982,0.362,0.578,0.938,1.37,1.802,1.082,0.902,1.55,1.046,1.766,1.01,1.19,1.154,0.506,0.398,0.326
8.9011,2.5075,8.1019,6.7033,8.3017,9.3007,1.7083,3.5065,9.9001,5.9041,9.1009,4.3057,0.5095,5.7043,2.3077,4.5055,6.9031,5.3047,4.9051,4.1059,2.9071,3.7063,0.3097,5.5045,9.5005,1.5085,0.9091,8.7013,3.1069,0.1099,7.3027,2.1079,8.5015,1.3087,3.3067,5.1049,4.7053,6.5035,6.1039,3.9061,1.9081,7.1029,2.7073,6.3037,7.9021,1.1089,9.7003,0.7093,7.5025,7.7023
0.54591,0.78056,0.9846,0.67854,0.91318,0.81116,0.89278,0.90298,0.53571,0.64793,0.83157,0.74995,1.005,0.86217,0.79076,0.66833,0.61732,0.95399,0.73975,0.92338,0.56631,0.94379,0.5153,0.96419,0.97439,0.77035,0.57652,0.59692,0.84177,0.93359,0.52551,0.87237,0.9948,0.69894,0.82136,0.70914,0.60712,0.88258,0.85197,0.63773,0.80096,0.72955,0.55611,0.5051,0.76015,0.62753,0.68874,0.65813,0.58672,0.71934
1.858,1.1716,1.7788,1.462,1.4356,1.1188,1.1452,1.726,1.2508,1.6468,2.122,1.8844,1.8052,2.1748,1.9636,1.6996,2.1484,1.066,1.2244,2.2804,1.9372,1.5412,1.8316,1.4092,1.33,1.198,1.3564,1.0396,1.5148,1.2772,2.254,1.6204,2.0428,1.3828,1.4884,2.0164,2.3068,1.594,2.0956,1.9108,1.6732,2.2276,1.99,2.2012,1.7524,1.3036,1.5676,2.0692,1.0132,1.0924
2.552,2.936,0.344,3.512,4.664,0.632,2.264,1.688,4.952,3.416,1.4,1.016,3.128,3.8,4.088,3.896,1.112,3.032,4.568,0.728,4.184,4.856,1.208,0.536,2.648,3.992,2.456,2.072,2.744,0.824,0.92,4.472,3.32,1.496,4.376,0.248,2.36,3.608,1.784,1.976,2.84,4.76,3.704,0.44,1.592,1.88,4.28,2.168,1.304,3.224
